data_pos,ativo,saldo
2020-02-01,BOVA11 ,"1,888.00"
2020-02-01,BRAX11,"2,431.00"
2020-02-01,PIBB11 ,"7,046.00"
2020-02-01,PETR4,"2,283.00"
2020-01-01,Cambial Dolar Votorantim,"6,995.00"
2020-01-01,USD,"4,280.00"
2020-01-01,THRA11 ,"8,584.00"
2020-01-01,Occam Retorno Absoluto,"12,011.00"
2020-01-01,Forpus,"28,978.92"
2020-01-01,IPCA,"4,023.00"
2020-01-01,SBSP3,"6,100.00"
2020-01-01,Pre 2021,"1,480.00"
2020-01-01,Selic 2021,"3,152.00"
2020-01-01,Previdencia Itau,"11,945.00"
2020-01-01,Nubank,"21,798.00"
2020-01-01,Previdencia Icatu,"6,085.00"
2020-01-01,SMAL1,"9,583.70"
2020-01-01,DIVO11 ,"12,920.00"
2020-01-01,BRAX11,"2,832.00"
2020-01-01,PIBB11 ,"8,232.00"
2020-01-01,BOVA11 ,"2,178.00"
2020-01-01,HGCR11 ,"10,838.00"
2020-01-01,JSRE11 ,"7,990.00"
2019-12-01,Forpus,"28,519.00"
2019-12-01,SMAL1,"9,713.00"
2019-12-01,DIVO11 ,"13,246.00"
2019-12-01,BRAX11,"2,913.00"
2019-12-01,HGCR11 ,"11,695.00"
2019-12-01,BOVA11 ,"2,267.00"
2019-12-01,PIBB11 ,"8,542.00"
2019-12-01,THRA11 ,"8,387.00"
2019-12-01,JSRE11 ,"8,134.00"
2019-12-01,SBSP3,"6,022.00"
2019-12-01,Occam Retorno Absoluto,"11,792.00"
2019-12-01,Previdencia Icatu,"6,065.00"
2019-12-01,IPCA,"3,966.00"
2019-12-01,Previdencia Itau,"11,907.00"
2019-12-01,Pre 2021,"1,471.00"
2019-12-01,Selic 2021,"3,140.00"
2019-12-01,Nubank,"21,736.00"
2019-12-01,USD,"4,040.00"
2019-12-01,Cambial Dolar Votorantim,"3,432.00"
2019-11-01,SBSP3,"5,823.00"
2019-11-01,USD,"4,200.00"
2019-11-01,Cambial Dolar Votorantim,"3,586.00"
2019-11-01,Forpus,"24,191.00"
2019-11-01,JSRE11 ,"7,891.00"
2019-11-01,SMAL1,"8,519.00"
2019-11-01,DIVO11 ,"12,093.00"
2019-11-01,PIBB11 ,"8,021.00"
2019-11-01,BOVA11 ,"2,122.00"
2019-11-01,BRAX11,"2,712.00"
2019-11-01,THRA11 ,"5,900.00"
2019-11-01,Previdencia Icatu,"5,951.00"
2019-11-01,Selic 2021,"3,130.00"
2019-11-01,Nubank,"21,680.00"
2019-11-01,Pre 2021,"1,465.00"
2019-11-01,Previdencia Itau,"11,854.00"
2019-11-01,IPCA,"3,940.00"
2019-11-01,Occam Retorno Absoluto,"11,567.00"
2019-11-01,HGCR11 ,"8,396.00"
2019-10-01,SMAL1,"8,169.70"
2019-10-01,HGCR11 ,"8,741.60"
2019-10-01,SBSP3,"5,476.00"
2019-10-01,THRA11 ,"5,896.60"
2019-10-01,DIVO11 ,"11,724.90"
2019-10-01,BRAX11,"2,686.80"
2019-10-01,BOVA11 ,"2,093.40"
2019-10-01,PIBB11 ,"7,912.86"
2019-10-01,IPCA,"3,979.69"
